sgg_cd,emd_cd_2022,emd_cd_2020,sido_nm,sgg_nm,emd_nm,building_total,building_dandok,building_apt,building_yeonlip,building_dasedae,building_nonresidential,building_others,population_total,population_m,population_f,population_domestic,population_foreign,household_total,household_collective,household_foreign,household_private,population_dnsty,population_ageing_idx,population_corp_cnt,household_family_member_avg,household_family_cnt,household_alone_cnt,population_adult_cnt
11010,11010530,1101053,서울특별시,종로구,사직동,2778,650,1591,78,411,48,941,8705,3959,4746,8344,361,3969,7,123,3839,7137.6,194.8,5198,2.1,1509,1487,5899
11010,11010540,1101054,서울특별시,종로구,삼청동,730,644,0,19,37,30,43,2433,1184,1249,2337,96,1065,0,34,1031,1538.5,317.3,990,2.2,431,380,1549
11010,11010550,1101055,서울특별시,종로구,부암동,3070,1033,121,903,976,37,175,9666,4622,5044,9245,421,3901,9,119,3773,4026.8,189.7,876,2.4,1805,1129,6563
11010,11010560,1101056,서울특별시,종로구,평창동,5958,1553,1009,2186,1139,71,115,17379,8109,9270,17029,350,6398,17,116,6265,1882.6,189.2,1290,2.6,3489,1302,11838
11010,11010570,1101057,서울특별시,종로구,무악동,2860,48,2703,55,46,8,7,8082,3763,4319,8013,69,2899,0,15,2883,21489.8,113.6,358,2.8,1821,494,5474
11010,11010580,1101058,서울특별시,종로구,교남동,3917,237,2526,88,1060,6,101,10027,4662,5365,9754,273,4174,0,65,4106,27865.3,117.3,605,2.3,2003,1219,6957
11010,11010600,1101060,서울특별시,종로구,가회동,1601,731,0,137,719,14,40,4169,2056,2113,4051,118,1782,0,45,1733,7431.4,222.3,966,2.2,748,631,2856
11010,11010610,1101061,서울특별시,종로구,종로1·2·3·4가동,1652,514,959,28,48,103,1264,6707,3804,2903,5994,713,3978,23,319,3636,2454.7,542.9,18586,1.6,614,2371,4309
11010,11010630,1101063,서울특별시,종로구,종로5·6가동,1319,730,220,76,137,156,572,5456,2962,2494,4882,574,2835,5,138,2692,8010.4,532.6,8343,1.7,624,1608,3721
11010,11010640,1101064,서울특별시,종로구,이화동,2624,682,189,266,1420,67,245,8241,3770,4471,7519,722,4172,9,280,3883,9533.1,297.8,1693,1.8,1121,2094,5830
11010,11010670,1101067,서울특별시,종로구,창신1동,1589,493,868,18,164,46,166,5791,3004,2787,4585,1206,2787,0,445,2340,14791,492.3,2828,1.9,789,1068,3272
11010,11010680,1101068,서울특별시,종로구,창신2동,2466,879,330,89,1119,49,37,9369,4711,4658,7670,1699,4116,0,630,3484,29515.7,375.2,1075,2.2,1539,1289,5623
11010,11010690,1101069,서울특별시,종로구,창신3동,2150,306,1735,33,68,8,10,6773,3307,3466,6501,272,2670,0,72,2598,29717.7,178.3,374,2.5,1393,613,4719
11010,11010700,1101070,서울특별시,종로구,숭인1동,1588,644,654,15,245,30,243,6110,2917,3193,5653,457,2793,0,170,2622,23405.7,257.3,685,2.1,1103,1007,4084
11010,11010710,1101071,서울특별시,종로구,숭인2동,3358,406,1633,224,1029,66,1486,9520,4672,4848,8793,727,5413,6,342,5065,24712.8,367.4,2321,1.7,1272,2988,6853
11010,11010720,1101072,서울특별시,종로구,청운효자동,4134,1279,260,787,1750,58,56,11680,5482,6198,11511,169,4715,0,53,4659,4432.1,146.2,1484,2.4,2378,1378,8078
11010,11010730,1101073,서울특별시,종로구,혜화동,5065,1430,890,458,2172,115,162,21183,10078,11105,17837,3346,10402,23,1574,8805,15622.5,210.2,2233,1.8,2499,4925,14018
11020,11020520,1102052,서울특별시,중구,소공동,685,16,651,0,0,18,334,2461,1117,1344,2074,387,1101,0,172,925,2176.9,94.1,5599,1.9,297,435,1659
11020,11020540,1102054,서울특별시,중구,회현동,1744,246,1342,43,75,38,151,4668,2406,2262,4110,558,2200,5,185,2010,4490.9,415.5,10025,2,703,867,2766
11020,11020550,1102055,서울특별시,중구,명동,547,201,250,0,54,42,175,2794,1232,1562,2335,459,1220,0,155,1061,2388.3,465.9,9778,1.7,275,581,1618
11020,11020570,1102057,서울특별시,중구,필동,1191,375,399,89,258,70,242,4955,2502,2453,4015,940,2283,14,363,1906,2720,305.3,3734,1.8,507,1020,2996
11020,11020580,1102058,서울특별시,중구,장충동,2433,391,197,262,1532,51,79,5989,2945,3044,4895,1094,3076,27,421,2628,4757.4,286.5,1052,1.7,633,1509,3807
11020,11020590,1102059,서울특별시,중구,광희동,1828,450,1206,0,116,55,709,6141,3115,3026,4492,1649,3392,0,830,2559,6028.7,485.8,10462,1.7,613,1391,3287
11020,11020600,1102060,서울특별시,중구,을지로동,422,101,257,0,7,57,578,1847,1039,808,1667,180,1203,5,84,1114,2696.4,577.8,10477,1.4,133,781,1221
11020,11020650,1102065,서울특별시,중구,신당5동,3376,607,2279,106,321,63,282,10604,5115,5489,10053,551,5200,0,250,4949,31227.3,199,1519,2,1821,2182,7587
11020,11020670,1102067,서울특별시,중구,황학동,3959,612,2823,12,398,114,1607,13372,6290,7082,11975,1397,6788,5,570,6213,36121.6,184.3,2513,1.9,1957,2963,9164
11020,11020680,1102068,서울특별시,중구,중림동,4324,259,3455,54,529,27,477,11943,5914,6029,11562,381,5131,9,146,4976,23637.3,133.5,1331,2.3,2264,1627,8300
11020,11020690,1102069,서울특별시,중구,신당동,2526,968,973,51,426,108,688,9342,4480,4862,7169,2173,4887,9,850,4028,13304.9,340.6,13588,1.8,1099,2223,5539
11020,11020700,1102070,서울특별시,중구,다산동,4507,865,472,711,2374,85,160,14279,6854,7425,13516,763,6562,5,293,6264,25539.8,279.1,2023,2.1,2512,2466,10040
11020,11020710,1102071,서울특별시,중구,약수동,6584,168,5344,389,658,25,77,16398,7705,8693,16038,360,7012,0,85,6925,32778.6,239.3,1168,2.3,3302,2054,10972
11020,11020720,1102072,서울특별시,중구,청구동,4928,484,3844,115,432,53,117,13579,6427,7152,13255,324,5884,0,117,5764,38339.3,224.4,1125,2.3,2675,1924,9543
11020,11020730,1102073,서울특별시,중구,동화동,3180,224,2610,111,172,63,19,10372,5006,5366,10096,276,3878,0,107,3771,30581.5,154.9,1293,2.7,2226,795,7213
11030,11030510,1103051,서울특별시,용산구,후암동,5363,1470,618,575,2646,54,169,16933,8196,8737,16236,697,7555,8,264,7283,18569.3,178.5,1342,2.2,3087,2800,11940
11030,11030520,1103052,서울특별시,용산구,용산2가동,3243,1105,374,128,1601,35,44,10505,5107,5398,9164,1341,5055,0,549,4502,4615.9,340,918,2,1684,1911,6665
11030,11030530,1103053,서울특별시,용산구,남영동,1714,661,440,89,473,51,895,7123,4116,3007,6477,646,4053,23,241,3789,5379.3,446.8,2256,1.6,767,2382,4811
11030,11030570,1103057,서울특별시,용산구,원효로2동,4631,534,3216,118,735,28,104,13436,6306,7130,13245,191,5515,0,71,5443,18515.1,149.4,1649,2.4,2768,1601,9550
11030,11030580,1103058,서울특별시,용산구,효창동,3463,271,1584,247,1333,28,20,9866,4679,5187,9729,137,3966,0,41,3922,21601.2,131.1,673,2.4,1940,1082,7156
11030,11030590,1103059,서울특별시,용산구,용문동,4231,443,2282,78,1404,24,60,11669,5505,6164,11494,175,4996,0,58,4937,41002.4,176.3,887,2.3,2347,1576,8376
11030,11030630,1103063,서울특별시,용산구,이촌1동,9540,0,9507,21,11,0,23,26195,12378,13817,24927,1268,9260,0,282,8975,8603,97.9,1256,2.8,5679,1212,16931
11030,11030640,1103064,서울특별시,용산구,이촌2동,3415,60,2783,172,391,9,11,8136,3814,4322,7970,166,3337,0,34,3302,6567.1,220.6,494,2.4,1680,803,5558
11030,11030650,1103065,서울특별시,용산구,이태원1동,2198,815,712,246,373,52,61,7991,4248,3743,5890,2101,3941,0,832,3105,9983.5,406.4,1995,1.9,942,1479,4316
11030,11030660,1103066,서울특별시,용산구,이태원2동,3058,1127,705,232,949,45,38,9780,4629,5151,8171,1609,4739,0,593,4144,9248.1,272.5,1205,1.9,1395,1874,5989
11030,11030690,1103069,서울특별시,용산구,서빙고동,4268,618,2608,254,780,8,41,12672,6110,6562,11893,779,4858,0,157,4701,4173.3,144.1,715,2.5,2480,1178,8578
11030,11030700,1103070,서울특별시,용산구,보광동,3588,2024,550,81,892,41,24,14966,7805,7161,13175,1791,7216,7,566,6643,18211.2,339.3,1180,1.9,2333,3121,9863
11030,11030710,1103071,서울특별시,용산구,청파동,5636,1837,74,455,3186,84,797,19822,8764,11058,18890,932,10177,11,337,9829,21111.8,272.5,2292,1.8,2918,5218,14698
11030,11030720,1103072,서울특별시,용산구,원효로1동,5251,563,3405,43,1161,79,1140,15443,7386,8057,14835,608,7109,7,183,6919,25000.9,105.6,2868,2.1,2658,2735,11328
11030,11030730,1103073,서울특별시,용산구,한강로동,6769,905,5192,162,431,79,2994,19821,9573,10248,17904,1917,9321,9,527,8785,6130.4,192.5,7344,2,2921,3755,13590
11030,11030740,1103074,서울특별시,용산구,한남동,8174,1630,3626,1068,1758,92,190,21524,10546,10978,18602,2922,10333,5,893,9435,6069.1,202.3,3724,1.9,3137,4154,13795
11040,11040520,1104052,서울특별시,성동구,왕십리2동,5060,608,4243,9,167,33,353,16744,8092,8652,16223,521,7154,0,226,6925,43217.2,140.7,1119,2.3,3273,2275,11975
11040,11040540,1104054,서울특별시,성동구,마장동,6564,1206,4173,212,816,157,360,22666,11103,11563,21774,892,10116,0,393,9719,20845.1,194.7,3698,2.2,4145,3674,16198
11040,11040550,1104055,서울특별시,성동구,사근동,3183,793,1288,55,982,65,133,15030,7709,7321,13025,2005,8081,25,906,7150,11056.8,222.7,1389,1.6,1448,4754,10901
11040,11040560,1104056,서울특별시,성동구,행당1동,4990,573,3680,0,680,57,386,13782,6638,7144,13344,438,5946,0,197,5748,23031.4,140.8,1649,2.3,2655,1930,9850
11040,11040570,1104057,서울특별시,성동구,행당2동,8481,133,8134,16,194,0,10,23064,10803,12261,22901,163,8788,0,41,8747,49649.9,129.2,840,2.6,5078,1764,16395
11040,11040580,1104058,서울특별시,성동구,응봉동,5322,150,3868,42,1254,8,17,14949,7091,7858,14853,96,5514,0,17,5497,26610.5,118.8,543,2.7,3394,1053,10394
11040,11040590,1104059,서울특별시,성동구,금호1가동,6021,77,5058,0,861,25,65,15058,7208,7850,14886,172,6074,0,29,6045,33152.3,136.9,794,2.4,3222,1538,10584
11040,11040620,1104062,서울특별시,성동구,금호4가동,5223,397,4439,101,254,32,53,14190,6766,7424,13849,341,5916,0,102,5812,16522.9,120.7,929,2.4,2917,1624,9753
11040,11040650,1104065,서울특별시,성동구,성수1가1동,4897,629,3313,307,557,91,417,16186,8093,8093,15708,478,7135,0,197,6937,8250.7,139.2,2884,2.2,3085,2435,12091
11040,11040660,1104066,서울특별시,성동구,성수1가2동,3689,659,2345,200,389,96,667,13564,6645,6919,13099,465,6326,0,222,6102,13955.6,154.6,4519,2.1,2442,2499,10027
11040,11040670,1104067,서울특별시,성동구,성수2가1동,4288,1079,1913,567,599,130,109,16727,8661,8066,15809,918,7840,6,409,7425,13240.9,219.2,3466,2.1,2994,2990,11873
11040,11040680,1104068,서울특별시,성동구,성수2가3동,2944,290,1912,57,589,96,829,11235,5671,5564,10803,432,5089,12,189,4888,10142.4,237.7,8580,2.1,1826,2091,8127
11040,11040690,1104069,서울특별시,성동구,송정동,2331,898,793,68,547,25,112,11009,5776,5233,10336,673,5381,0,324,5057,15007.5,211.2,946,2,1896,2305,7836
11040,11040700,1104070,서울특별시,성동구,용답동,2504,1472,621,27,327,57,1096,12999,6658,6341,11613,1386,6493,6,611,5876,4813.2,332.4,2563,1.9,1865,3111,8588
11040,11040710,1104071,서울특별시,성동구,왕십리도선동,8480,544,7302,75,468,91,1257,26884,12672,14212,26134,750,11312,5,308,10999,36497.5,120.5,3186,2.3,5351,3632,19147
11040,11040720,1104072,서울특별시,성동구,금호2·3가동,7453,893,5019,129,1338,74,54,22458,10689,11769,22141,317,9296,0,110,9185,34777.8,152.1,1359,2.4,4688,2519,16074
11040,11040730,1104073,서울특별시,성동구,옥수동,9899,124,9483,125,136,31,174,25373,11853,13520,24768,605,10197,0,122,10074,12809.3,113.1,1375,2.4,5310,2391,17695
11050,11050530,1105053,서울특별시,광진구,화양동,5296,1413,1360,50,2315,158,2447,28124,12975,15149,24393,3731,18354,22,1711,16621,21302.6,388.3,3127,1.4,1836,12704,21444
11050,11050540,1105054,서울특별시,광진구,군자동,4556,1435,779,268,1978,96,467,22308,10891,11417,19580,2728,11316,9,1072,10235,26325.5,214.8,2205,1.8,3076,5546,15252
