sgg_cd,sido_nm,sgg_nm,tenure_total,tenure_self,tenure_jeonse,tenure_free,household_monthlyrent,app_dasedae,app_dandok,app_nonresidential,app_apt,app_yeonlip,app_officetel,terminal(min),railway(min),airport(min),publicHospital(min),hospital(min),generalHospital(min),superMarket(min),market(min),park_cnt,park_area(㎡),greenArea_per_person,total_green_area(㎡),dust_level,convenience_postoffice_corp_cnt,convenience_postoffice_corp_vs_ppltn_rate,convenience_administrative_corp_cnt,convenience_administrative_corp_vs_ppltn_rate,convenience_police_corp_cnt,convenience_police_corp_vs_ppltn_rate,convenience_firestation_corp_cnt,convenience_firestation_corp_vs_ppltn_rate,convenience_bank_corp_cnt,convenience_bank_corp_vs_ppltn_rate,shopping_convenience_store_corp_cnt,shopping_convenience_store_corp_vs_ppltn_rate,shopping_supermarket_corp_cnt,shopping_supermarket_corp_vs_ppltn_rate,shopping_departmentorbigmart_corp_cnt,shopping_departmentorbigmart_corp_vs_ppltn_rate,grocery_식료품_corp_cnt,grocery_식료품_corp_vs_ppltn_rate,restaurant_korean_corp_cnt,restaurant_korean_corp_vs_ppltn_rate,restaurant_chinese_corp_cnt,restaurant_chinese_corp_vs_ppltn_rate,restaurant_japan_corp_cnt,restaurant_japan_corp_vs_ppltn_rate,restaurant_bunsik_corp_cnt,restaurant_bunsik_corp_vs_ppltn_rate,restaurant_western_corp_cnt,restaurant_western_corp_vs_ppltn_rate,restaurant_bakery_corp_cnt,restaurant_bakery_corp_vs_ppltn_rate,restaurant_fastfood_corp_cnt,restaurant_fastfood_corp_vs_ppltn_rate,restaurant_chicken_corp_cnt,restaurant_chicken_corp_vs_ppltn_rate,restaurant_beershop_corp_cnt,restaurant_beershop_corp_vs_ppltn_rate,restaurant_cafe_corp_cnt,restaurant_cafe_corp_vs_ppltn_rate,restaurant_etccountry_corp_cnt,restaurant_etccountry_corp_vs_ppltn_rate,medical_hospital_corp_cnt,medical_hospital_corp_vs_ppltn_rate,medical_etcmed_corp_cnt,medical_etcmed_corp_vs_ppltn_rate,medical_pharmacy_corp_cnt,medical_pharmacy_corp_vs_ppltn_rate,medical_eastern_corp_cnt,medical_eastern_corp_vs_ppltn_rate,culture_bookshop_corp_cnt,culture_bookshop_corp_vs_ppltn_rate,culture_theater_corp_cnt,culture_theater_corp_vs_ppltn_rate,culture_library_corp_cnt,culture_library_corp_vs_ppltn_rate,gym_gymfacility_corp_cnt,gym_gymfacility_corp_vs_ppltn_rate,adm_cd,ppltn_year_population_rate,ppltn_Net_migration_rate,ppltn_transfer_in_rate,ppltn_transfer_out_rate,ppltn_tot_transfer_in_cnt,ppltn_tot_transfer_out_cnt,ppltn_Net_migration_cnt,safety_idx
11010,서울특별시,종로구,63414,28559,12259,2673,1.77E+11,23.7,33.4,30,31.2,36.2,26,31.36,20.93,51.36,15.12,4.23,12.99,13.48,8.94,65,1138654,82,12470800,35.83333333,20,6833.9,62,2204.5,28,4881.3,7,19525.3,152,899.2,300,455.6,31,4408.9,1,136677,608,224.8,2322,58.9,192,711.9,235,581.6,378,361.6,298,458.6,199,686.8,185,738.8,148,923.5,692,197.5,1272,107.5,82,1666.8,347,393.9,286,477.9,206,663.5,130,1051.4,85,1608,69,1980.8,102,1340,198,690.3,11010,144865.5,-1.11965927,16.31306281,17.43272208,23632,25254,-1622,27
11020,서울특별시,중구,55093,21470,13608,1663,1.59E+11,21.5,27.7,30.3,30.1,28.4,24.1,24.95,14.12,49.83,12.05,3.48,12.56,9.08,6.37,58,1513152,16,2067200,35.75,14,8142.6,37,3081,21,5428.4,7,16285.3,249,457.8,365,312.3,32,3562.4,8,14249.6,823,138.5,2232,51.1,227,502.2,232,491.4,387,294.6,203,561.6,180,633.3,161,708.1,126,904.7,505,225.7,1082,105.4,98,1163.2,449,253.9,204,558.8,174,655.2,96,1187.5,71,1605.6,15,7599.8,22,5181.7,220,518.2,11020,121519.5,-0.786705014,17.09766745,17.88437247,20777,21733,-956,26
11030,서울특별시,용산구,95714,32638,30080,3860,2.63E+11,23.7,29.9,31.6,37.4,38.2,29.8,23.67,13.74,45.26,16.66,3.53,16.31,9.6,7.43,71,596355,31,7197100,36.33333333,13,15638.1,26,7819,14,14521.1,5,40659,87,2336.7,282,720.9,43,4727.8,3,67765,489,415.7,1349,150.7,149,1364.4,228,891.6,273,744.7,479,424.4,192,1058.8,183,1110.9,136,1494.8,574,354.2,782,260,107,1900,255,797.2,214,950,136,1494.8,62,3279,50,4065.9,9,22588.3,18,11294.2,169,1202.9,11030,219403.5,0.591148272,18.35978004,17.76863177,40282,38985,1297,19
11040,서울특별시,성동구,122186,48991,35142,2937,3.37E+11,20.2,23.4,24.8,29.2,23.9,22.5,23.69,12.08,57.75,13.97,3.04,13.44,10.49,7.39,63,1419224,11,3386100,33.33333333,10,27416.1,23,11920,18,15231.2,4,68540.3,84,3263.8,302,907.8,45,6092.5,3,91387,561,488.7,1552,176.7,137,2001.2,160,1713.5,266,1030.7,213,1287.1,168,1631.9,173,1584.7,181,1514.7,371,739,784,349.7,65,4217.9,360,761.6,197,1391.7,162,1692.4,93,2948,46,5960,7,39165.9,17,16127.1,250,1096.6,11040,291841,-2.721687494,15.47178087,18.19346836,45153,53096,-7943,13
11050,서울특별시,광진구,152090,55756,39244,3305,4.98E+11,19.5,26.5,25.6,29.9,27.1,22.2,17.66,20.74,67.33,13.52,3.03,12.14,11.44,8.41,49,615563,11,3905600,34.08333333,12,27150.1,22,14809.1,12,27150.1,4,81450.3,79,4124.1,374,871.1,47,6931.9,3,108600.3,707,460.8,1750,186.2,214,1522.4,192,1696.9,337,966.8,148,2201.4,200,1629,176,1851.1,218,1494.5,693,470.1,766,425.3,41,7946.4,436,747.3,273,1193.4,186,1751.6,122,2670.5,37,8805.4,14,23271.5,13,25061.6,295,1104.4,11050,343783,-1.389539331,16.26782011,17.65735944,55926,60703,-4777,11
11060,서울특별시,동대문구,150373,63107,34734,3716,4.55E+11,20.2,25.7,26.6,27.9,24.5,21.5,22.47,14.1,62.97,14.89,3.07,10.82,10.7,6.86,73,1705614,7,2605600,32.5,15,21772,21,15551.4,19,17188.4,6,54430,94,3474.3,361,904.7,60,5443,3,108860,1656,197.2,1977,165.2,180,1814.3,121,2699,339,963.4,117,2791.3,168,1943.9,180,1814.3,243,1344,496,658.4,695,469.9,51,6403.5,436,749,305,1070.8,347,941.2,167,1955.6,54,6047.8,6,54430,13,25121.5,259,1260.9,11060,337801,-0.955296165,16.2545404,17.20983656,54908,58135,-3227,19
11070,서울특별시,중랑구,164832,73132,40501,4386,4.22E+11,18.7,25.6,26.2,26.3,24.8,21.3,13.47,12.29,71.01,15.06,3.3,11.16,7.97,7.35,65,2035698,15,5916000,35.25,10,37058.4,26,14253.2,17,21799.1,4,92646,72,5147,313,1184,44,8422.4,6,61764,967,383.2,1818,203.8,102,3633.2,95,3900.9,312,1187.8,62,5977.2,151,2454.2,130,2850.6,245,1512.6,605,612.5,522,709.9,28,13235.1,426,869.9,374,990.9,191,1940.2,112,3308.8,36,10294,6,61764,16,23161.5,257,1442,11070,390233,-0.512001804,15.43026858,15.94227039,60214,62212,-1998,19
11080,서울특별시,성북구,179660,87204,40917,3974,4.44E+11,21,27.8,24.2,27.7,28.9,26.4,33.16,22.84,61.4,16.01,3.48,15.8,9.98,8.01,38,3207954,23,10285400,36.16666667,13,32243.3,28,14970.1,17,24656.6,4,104790.8,96,4366.3,333,1258.7,66,6351,4,104790.8,809,518.1,1575,266.1,149,2813.2,138,3037.4,336,1247.5,114,3676.9,176,2381.6,187,2241.5,258,1624.7,499,840,755,555.2,52,8060.8,417,1005.2,379,1106,208,2015.2,121,3464.2,54,7762.3,11,38105.7,35,11976.1,253,1656.8,11080,432206,-1.221176939,14.56550811,15.78668505,62953,68231,-5278,12
11090,서울특별시,강북구,129805,61818,27876,4179,3.30E+11,20.4,27.9,30.8,26.2,26,22.3,40.01,29.77,66.78,15.9,3.15,12.72,9.36,6.68,56,1489449,46,13895500,38.25,10,28538.6,24,11891.1,13,21952.8,4,71346.5,46,6204,267,1068.9,45,6341.9,2,142693,773,369.2,1553,183.8,111,2571,93,3068.7,257,1110.5,57,5006.8,119,2398.2,140,2038.5,195,1463.5,587,486.2,490,582.4,24,11891.1,371,769.2,278,1026.6,174,1640.1,93,3068.7,27,10569.9,9,31709.6,13,21952.8,193,1478.7,11090,305511.5,-1.646746522,13.62469171,15.27143823,41625,46656,-5031,20
11100,서울특별시,도봉구,127362,74507,24698,3715,2.24E+11,19.7,28.3,29.8,27.2,25.2,23.6,36.43,32.29,70.81,11.75,3.39,14.87,11.16,9.25,51,915756,33,10448100,32.16666667,10,30375.3,24,12656.4,8,37969.1,5,60750.6,37,8209.5,229,1326.4,40,7593.8,3,101251,687,442.1,1190,255.3,85,3573.6,81,3750,222,1368.3,59,5148.4,116,2618.6,112,2712.1,197,1541.9,334,909.4,382,795.2,16,18984.6,283,1073.3,309,983,129,2354.7,85,3573.6,40,7593.8,5,60750.6,18,16875.2,219,1387,11100,325050,-2.294108599,12.43962467,14.73373327,40435,47892,-7457,16
